Protein Group	SubGroup	Protein	Protein ID	Entry Name	Gene Names	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Unique Stripped Peptides	Summarized Total Spectral Count	Summarized Unique Spectral Count	Summarized Razor Spectral Count	aspirin_1 Total Spectral Count	aspirin_1 Unique Spectral Count	aspirin_1 Razor Spectral Count	aspirin_1 Total Ion Count	aspirin_1 Unique Ion Count	aspirin_1 Razor Ion Count	aspirin_1 Total Intensity	aspirin_1 Unique Intensity	aspirin_1 Razor Intensity	aspirin_2 Total Spectral Count	aspirin_2 Unique Spectral Count	aspirin_2 Razor Spectral Count	aspirin_2 Total Ion Count	aspirin_2 Unique Ion Count	aspirin_2 Razor Ion Count	aspirin_2 Total Intensity	aspirin_2 Unique Intensity	aspirin_2 Razor Intensity	aspirin_3 Total Spectral Count	aspirin_3 Unique Spectral Count	aspirin_3 Razor Spectral Count	aspirin_3 Total Ion Count	aspirin_3 Unique Ion Count	aspirin_3 Razor Ion Count	aspirin_3 Total Intensity	aspirin_3 Unique Intensity	aspirin_3 Razor Intensity	control_1 Total Spectral Count	control_1 Unique Spectral Count	control_1 Razor Spectral Count	control_1 Total Ion Count	control_1 Unique Ion Count	control_1 Razor Ion Count	control_1 Total Intensity	control_1 Unique Intensity	control_1 Razor Intensity	control_2 Total Spectral Count	control_2 Unique Spectral Count	control_2 Razor Spectral Count	control_2 Total Ion Count	control_2 Unique Ion Count	control_2 Razor Ion Count	control_2 Total Intensity	control_2 Unique Intensity	control_2 Razor Intensity	control_3 Total Spectral Count	control_3 Unique Spectral Count	control_3 Razor Spectral Count	control_3 Total Ion Count	control_3 Unique Ion Count	control_3 Razor Ion Count	control_3 Total Intensity	control_3 Unique Intensity	control_3 Razor Intensity	Indistinguishable Proteins
713	a	sp|P29144|TPP2_HUMAN	P29144	TPP2_HUMAN	TPP2	1249	6.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tripeptidyl-peptidase 2	1.0000	0.9990	5	12	12	12	3	3	3	3	3	3	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	3	3	3	2	2	2	5.17385568E8	5.17385568E8	5.17385568E8	1	1	1	0	0	0	0.0	0.0	0.0	2	2	2	2	2	2	3.00447936E8	3.00447936E8	3.00447936E8	1	1	1	0	0	0	0.0	0.0	0.0	
714	a	sp|P29218|IMPA1_HUMAN	P29218	IMPA1_HUMAN	IMPA1	277	24.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Inositol monophosphatase 1	1.0000	0.9990	5	21	21	21	5	5	5	3	3	3	1.99973952E8	1.99973952E8	1.99973952E8	4	4	4	3	3	3	2.3342288E8	2.3342288E8	2.3342288E8	4	4	4	2	2	2	2.54369168E8	2.54369168E8	2.54369168E8	3	3	3	2	2	2	1.50381632E8	1.50381632E8	1.50381632E8	3	3	3	3	3	3	1.9742928E8	1.9742928E8	1.9742928E8	2	2	2	2	2	2	2.217068E8	2.217068E8	2.217068E8	
715	a	sp|P29350|PTN6_HUMAN	P29350	PTN6_HUMAN	PTPN6	595	18.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tyrosine-protein phosphatase non-receptor type 6	1.0000	0.9990	5	9	9	9	6	6	6	5	5	5	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
716	a	sp|P29692|EF1D_HUMAN	P29692	EF1D_HUMAN	EEF1D	281	61.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Elongation factor 1-delta	1.0000	0.9990	20	107	101	101	24	23	23	20	19	19	3.89681568E8	3.92321152E8	3.92321152E8	15	14	14	9	8	8	4.0582704E8	3.96507904E8	3.96507904E8	16	15	15	13	12	12	3.74516224E8	3.7616896E8	3.7616896E8	13	12	12	10	9	9	2.82112512E8	2.8309872E8	2.8309872E8	19	18	18	13	12	12	5.01158304E8	4.91219936E8	4.91219936E8	20	19	19	12	11	11	3.89599424E8	4.0090976E8	4.0090976E8	
717	a	sp|P29966|MARCS_HUMAN	P29966	MARCS_HUMAN	MARCKS	332	3.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myristoylated alanine-rich C-kinase substrate	1.0000	0.9990	3	8	8	8	4	4	4	3	3	3	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	
718	a	sp|P30038|AL4A1_HUMAN	P30038	AL4A1_HUMAN	ALDH4A1	563	11.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	1.0000	0.9990	6	12	12	12	2	2	2	2	2	2	4.6564904E7	4.6564904E7	4.6564904E7	3	3	3	2	2	2	6.9194048E7	6.9194048E7	6.9194048E7	0	0	0	0	0	0	0.0	0.0	0.0	6	6	6	4	4	4	8.11984E7	8.11984E7	8.11984E7	0	0	0	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	
719	a	sp|P30040|ERP29_HUMAN	P30040	ERP29_HUMAN	ERP29	261	25.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endoplasmic reticulum resident protein 29	1.0000	0.9990	9	43	43	43	9	9	9	8	8	8	2.78924832E8	2.78924832E8	2.78924832E8	7	7	7	4	4	4	3.94046144E8	3.94046144E8	3.94046144E8	7	7	7	5	5	5	2.52315184E8	2.52315184E8	2.52315184E8	8	8	8	7	7	7	2.67788032E8	2.67788032E8	2.67788032E8	7	7	7	6	6	6	1.8413456E8	1.8413456E8	1.8413456E8	5	5	5	3	3	3	2.00577584E8	2.00577584E8	2.00577584E8	
720	a	sp|P30041|PRDX6_HUMAN	P30041	PRDX6_HUMAN	PRDX6	224	75.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peroxiredoxin-6	1.0000	0.9990	19	252	252	252	50	50	50	25	25	25	1.62834688E9	1.62834688E9	1.62834688E9	36	36	36	14	14	14	1.97198438E9	1.97198438E9	1.97198438E9	51	51	51	16	16	16	2.52022963E9	2.52022963E9	2.52022963E9	37	37	37	14	14	14	2.20560358E9	2.20560358E9	2.20560358E9	37	37	37	16	16	16	1.58946598E9	1.58946598E9	1.58946598E9	41	41	41	15	15	15	2.01994752E9	2.01994752E9	2.01994752E9	
721	a	sp|P30043|BLVRB_HUMAN	P30043	BLVRB_HUMAN	BLVRB	206	64.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Flavin reductase (NADPH)	1.0000	0.9990	11	65	65	65	14	14	14	7	7	7	8.184288E7	8.184288E7	8.184288E7	9	9	9	6	6	6	4.9247984E8	4.9247984E8	4.9247984E8	6	6	6	5	5	5	4.1254544E8	4.1254544E8	4.1254544E8	16	16	16	5	5	5	5.31428704E8	5.31428704E8	5.31428704E8	12	12	12	8	8	8	4.5790288E8	4.5790288E8	4.5790288E8	8	8	8	4	4	4	4.61711168E8	4.61711168E8	4.61711168E8	
722	a	sp|P30044|PRDX5_HUMAN	P30044	PRDX5_HUMAN	PRDX5	214	44.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peroxiredoxin-5, mitochondrial	1.0000	0.9990	12	136	136	136	23	23	23	15	15	15	4.79456864E8	4.79456864E8	4.79456864E8	20	20	20	8	8	8	1.29381376E9	1.29381376E9	1.29381376E9	23	23	23	8	8	8	1.35805747E9	1.35805747E9	1.35805747E9	23	23	23	10	10	10	9.6952045E8	9.6952045E8	9.6952045E8	24	24	24	7	7	7	1.51356045E9	1.51356045E9	1.51356045E9	23	23	23	6	6	6	1.11746342E9	1.11746342E9	1.11746342E9	
723	a	sp|P30049|ATPD_HUMAN	P30049	ATPD_HUMAN	ATP5F1D	168	64.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP synthase subunit delta, mitochondrial	1.0000	0.9990	5	45	45	45	7	7	7	4	4	4	3.86876448E8	3.86876448E8	3.86876448E8	7	7	7	3	3	3	1.0720905E7	1.0720905E7	1.0720905E7	12	12	12	3	3	3	1.85792928E8	1.85792928E8	1.85792928E8	6	6	6	2	2	2	2.7981504E8	2.7981504E8	2.7981504E8	8	8	8	4	4	4	1.00231832E8	1.00231832E8	1.00231832E8	5	5	5	3	3	3	4.0782908E7	4.0782908E7	4.0782908E7	
724	a	sp|P30050|RL12_HUMAN	P30050	RL12_HUMAN	RPL12	165	77.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L12	1.0000	0.9990	12	90	90	90	24	24	24	12	12	12	1.24709926E9	1.24709926E9	1.24709926E9	16	16	16	9	9	9	6.1889875E8	6.1889875E8	6.1889875E8	12	12	12	9	9	9	6.9033779E8	6.9033779E8	6.9033779E8	11	11	11	7	7	7	3.16873728E8	3.16873728E8	3.16873728E8	13	13	13	8	8	8	6.878487E8	6.878487E8	6.878487E8	14	14	14	8	8	8	7.3432403E8	7.3432403E8	7.3432403E8	
725	a	sp|P30084|ECHM_HUMAN	P30084	ECHM_HUMAN	ECHS1	290	28.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Enoyl-CoA hydratase, mitochondrial	1.0000	0.9990	10	55	55	55	18	18	18	11	11	11	2.40350512E8	2.40350512E8	2.40350512E8	7	7	7	6	6	6	2.3295968E8	2.3295968E8	2.3295968E8	7	7	7	6	6	6	1.851604E8	1.851604E8	1.851604E8	9	9	9	7	7	7	2.1712368E8	2.1712368E8	2.1712368E8	7	7	7	6	6	6	2.112244E8	2.112244E8	2.112244E8	7	7	7	5	5	5	1.725504E8	1.725504E8	1.725504E8	
726	a	sp|P30086|PEBP1_HUMAN	P30086	PEBP1_HUMAN	PEBP1	187	90.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphatidylethanolamine-binding protein 1	1.0000	0.9990	19	219	219	219	96	96	96	31	31	31	3.20151122E10	3.20151122E10	3.20151122E10	28	28	28	7	7	7	1.66718034E10	1.66718034E10	1.66718034E10	13	13	13	9	9	9	1.44833004E10	1.44833004E10	1.44833004E10	32	32	32	13	13	13	1.45250918E10	1.45250918E10	1.45250918E10	31	31	31	15	15	15	1.1973802E10	1.1973802E10	1.1973802E10	19	19	19	10	10	10	1.06714276E10	1.06714276E10	1.06714276E10	
727	a	sp|P30101|PDIA3_HUMAN	P30101	PDIA3_HUMAN	PDIA3	505	83.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein disulfide-isomerase A3	1.0000	0.9990	57	392	342	368	108	102	106	72	66	70	1.68200294E9	1.73244838E9	1.93816845E9	52	46	47	35	31	33	1.44564698E9	1.4415776E9	1.44294797E9	56	48	52	39	34	37	1.38312512E9	1.41132288E9	1.3812343E9	58	46	54	41	32	39	1.08404915E9	1.05400038E9	1.05274438E9	62	52	57	39	33	37	1.58909414E9	1.57531584E9	1.52248998E9	56	48	52	39	33	37	1.37119834E9	1.35742618E9	1.28310566E9	
728	a	sp|P30260|CDC27_HUMAN	P30260	CDC27_HUMAN	CDC27	824	5.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cell division cycle protein 27 homolog	1.0000	0.9990	3	6	6	6	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	5	5	5	4	4	4	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
729	a	sp|P30291|WEE1_HUMAN	P30291	WEE1_HUMAN	WEE1	646	3.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Wee1-like protein kinase	1.0000	0.9990	1	2	2	2	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	2	2	2	2	2	2	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
730	a	sp|P30419|NMT1_HUMAN	P30419	NMT1_HUMAN	NMT1	496	31.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycylpeptide N-tetradecanoyltransferase 1	1.0000	0.9990	12	55	48	55	7	7	7	7	7	7	1.3062804E8	1.3062804E8	1.3062804E8	6	5	6	5	4	5	3.58104032E8	3.41076032E8	3.58104032E8	5	5	5	7	5	7	2.35653552E8	2.34962704E8	2.35653552E8	24	19	24	15	11	15	2.98519488E8	3.10579744E8	2.98519488E8	6	5	6	6	5	6	2.4588416E8	2.48864624E8	2.4588416E8	7	7	7	5	5	5	1.84824176E8	1.84824176E8	1.84824176E8	
731	a	sp|P30519|HMOX2_HUMAN	P30519	HMOX2_HUMAN	HMOX2	316	37.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heme oxygenase 2	1.0000	0.9990	7	13	13	13	9	9	9	8	8	8	2.71563936E8	2.71563936E8	2.71563936E8	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	4	4	4	4	4	4	1.02562904E8	1.02562904E8	1.02562904E8	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
732	a	sp|P30520|PURA2_HUMAN	P30520	PURA2_HUMAN	ADSS2	456	21.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adenylosuccinate synthetase isozyme 2	1.0000	0.9990	8	27	27	27	7	7	7	3	3	3	9.4432192E7	9.4432192E7	9.4432192E7	3	3	3	4	4	4	1.58843504E8	1.58843504E8	1.58843504E8	4	4	4	3	3	3	1.76944688E8	1.76944688E8	1.76944688E8	3	3	3	3	3	3	1.710816E8	1.710816E8	1.710816E8	5	5	5	3	3	3	2.79834464E8	2.79834464E8	2.79834464E8	5	5	5	3	3	3	1.65806832E8	1.65806832E8	1.65806832E8	
733	a	sp|P30533|AMRP_HUMAN	P30533	AMRP_HUMAN	LRPAP1	357	9.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-2-macroglobulin receptor-associated protein	1.0000	0.9990	5	6	6	6	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	3	3	3	4.9691676E7	4.9691676E7	4.9691676E7	1	1	1	3	3	3	4.6418176E7	4.6418176E7	4.6418176E7	2	2	2	3	3	3	4.5808592E7	4.5808592E7	4.5808592E7	0	0	0	0	0	0	0.0	0.0	0.0	2	2	2	2	2	2	4.9787068E7	4.9787068E7	4.9787068E7	
734	a	sp|P30536|TSPO_HUMAN	P30536	TSPO_HUMAN	TSPO	169	13.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Translocator protein	1.0000	0.9990	1	24	24	24	0	0	0	0	0	0	0.0	0.0	0.0	5	5	5	2	2	2	1.24995008E8	1.24995008E8	1.24995008E8	5	5	5	2	2	2	7.677372E7	7.677372E7	7.677372E7	5	5	5	2	2	2	2.1943048E8	2.1943048E8	2.1943048E8	3	3	3	2	2	2	5.5054828E7	5.5054828E7	5.5054828E7	6	6	6	2	2	2	1.11472144E8	1.11472144E8	1.11472144E8	
735	a	sp|P30566|PUR8_HUMAN	P30566	PUR8_HUMAN	ADSL	484	26.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adenylosuccinate lyase	1.0000	0.9990	10	28	28	28	15	15	15	11	11	11	3.352256E8	3.352256E8	3.352256E8	3	3	3	2	2	2	1.28626376E8	1.28626376E8	1.28626376E8	2	2	2	0	0	0	0.0	0.0	0.0	5	5	5	3	3	3	2.48229536E8	2.48229536E8	2.48229536E8	2	2	2	2	2	2	1.18664656E8	1.18664656E8	1.18664656E8	1	1	1	0	0	0	0.0	0.0	0.0	
736	a	sp|P30626|SORCN_HUMAN	P30626	SORCN_HUMAN	SRI	198	27.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sorcin	1.0000	0.9990	5	7	7	7	3	3	3	2	2	2	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	1	1	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	
737	a	sp|P30876|RPB2_HUMAN	P30876	RPB2_HUMAN	POLR2B	1174	19.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA-directed RNA polymerase II subunit RPB2	1.0000	0.9990	18	113	113	113	21	21	21	19	19	19	3.41483008E8	3.41483008E8	3.41483008E8	15	15	15	9	9	9	3.0839536E8	3.0839536E8	3.0839536E8	19	19	19	9	9	9	2.578312E8	2.578312E8	2.578312E8	29	29	29	14	14	14	6.589952E8	6.589952E8	6.589952E8	12	12	12	7	7	7	1.67068256E8	1.67068256E8	1.67068256E8	17	17	17	8	8	8	2.35800144E8	2.35800144E8	2.35800144E8	
738	a	sp|P31040|SDHA_HUMAN	P31040	SDHA_HUMAN	SDHA	664	34.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	1.0000	0.9990	16	119	119	119	15	15	15	13	13	13	3.69806976E8	3.69806976E8	3.69806976E8	18	18	18	12	12	12	5.9488538E8	5.9488538E8	5.9488538E8	27	27	27	16	16	16	5.6369165E8	5.6369165E8	5.6369165E8	20	20	20	13	13	13	5.12726944E8	5.12726944E8	5.12726944E8	17	17	17	12	12	12	6.0566496E8	6.0566496E8	6.0566496E8	22	22	22	12	12	12	6.0110592E8	6.0110592E8	6.0110592E8	
739	a	sp|P31150|GDIA_HUMAN	P31150	GDIA_HUMAN	GDI1	447	53.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rab GDP dissociation inhibitor alpha	1.0000	0.9990	20	115	67	67	22	14	14	18	11	11	1.64297152E9	1.10993638E9	1.10993638E9	12	4	4	7	3	3	3.49596416E8	4.56881216E8	4.56881216E8	15	8	8	11	6	6	3.656688E8	3.8110416E8	3.8110416E8	32	24	24	16	11	11	6.107856E8	6.7760614E8	6.7760614E8	19	10	10	11	5	5	4.40221248E8	4.2386448E8	4.2386448E8	15	7	7	7	4	4	3.56383456E8	3.91943744E8	3.91943744E8	
740	a	sp|P31327|CPSM_HUMAN	P31327	CPSM_HUMAN	CPS1	1500	5.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Carbamoyl-phosphate synthase [ammonia], mitochondrial	1.0000	0.9990	5	12	7	7	2	2	2	2	2	2	9.673928E7	1.00890792E8	1.00890792E8	1	0	0	2	0	0	1.45006704E8	0.0	0.0	2	1	1	2	0	0	1.41881248E8	0.0	0.0	5	4	4	4	3	3	2.0683096E8	2.81290688E8	2.81290688E8	1	0	0	0	0	0	0.0	0.0	0.0	1	0	0	0	0	0	0.0	0.0	0.0	
741	a	sp|P31350|RIR2_HUMAN	P31350	RIR2_HUMAN	RRM2	389	10.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribonucleoside-diphosphate reductase subunit M2	1.0000	0.9990	4	12	11	12	1	1	1	0	0	0	0.0	0.0	0.0	2	2	2	2	0	2	9.5955976E7	0.0	9.5955976E7	0	0	0	0	0	0	0.0	0.0	0.0	5	5	5	4	3	4	1.34060312E8	1.22198632E8	1.34060312E8	1	0	1	0	0	0	0.0	0.0	0.0	3	3	3	3	2	3	1.36823792E8	1.02233864E8	1.36823792E8	
742	a	sp|P31483|TIA1_HUMAN	P31483	TIA1_HUMAN	TIA1	386	21.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolysin TIA-1 isoform p40	1.0000	0.9990	8	27	17	17	10	6	6	8	4	4	7.73938E7	0.0	0.0	3	2	2	2	0	0	4.2908064E8	0.0	0.0	3	2	2	2	0	0	3.4456304E8	0.0	0.0	6	5	5	4	3	3	2.79727296E8	0.0	0.0	3	1	1	2	0	0	3.11855296E8	0.0	0.0	2	1	1	2	0	0	3.38102304E8	0.0	0.0	
743	a	sp|P31689|DNJA1_HUMAN	P31689	DNJA1_HUMAN	DNAJA1	397	39.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	DnaJ homolog subfamily A member 1	1.0000	0.9990	12	53	53	53	24	24	24	16	16	16	3.33092032E8	3.33092032E8	3.33092032E8	5	5	5	3	3	3	4.62694048E8	4.62694048E8	4.62694048E8	6	6	6	3	3	3	5.15393856E8	5.15393856E8	5.15393856E8	5	5	5	3	3	3	5.4312282E8	5.4312282E8	5.4312282E8	6	6	6	4	4	4	6.9781062E8	6.9781062E8	6.9781062E8	7	7	7	3	3	3	6.8487968E8	6.8487968E8	6.8487968E8	
744	a	sp|P31749|AKT1_HUMAN	P31749	AKT1_HUMAN	AKT1	480	8.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	RAC-alpha serine/threonine-protein kinase	1.0000	0.9990	4	20	20	20	5	5	5	2	2	2	2.55505888E8	2.55505888E8	2.55505888E8	2	2	2	2	2	2	1.4858568E8	1.4858568E8	1.4858568E8	3	3	3	3	3	3	1.56400336E8	1.56400336E8	1.56400336E8	5	5	5	4	4	4	1.45848896E8	1.45848896E8	1.45848896E8	2	2	2	2	2	2	1.17023752E8	1.17023752E8	1.17023752E8	3	3	3	3	3	3	1.28350368E8	1.28350368E8	1.28350368E8	
745	a	sp|P31930|QCR1_HUMAN	P31930	QCR1_HUMAN	UQCRC1	480	63.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome b-c1 complex subunit 1, mitochondrial	1.0000	0.9990	28	117	116	117	35	35	35	26	26	26	1.46936909E9	1.46936909E9	1.46936909E9	16	16	16	13	12	13	1.45655526E9	1.49705562E9	1.45655526E9	17	16	17	13	12	13	1.57713395E9	1.57388621E9	1.57713395E9	20	20	20	13	13	13	1.54870989E9	1.54870989E9	1.54870989E9	15	15	15	13	12	13	1.2434519E9	1.23931878E9	1.2434519E9	14	14	14	10	9	10	1.4950304E9	1.46244749E9	1.4950304E9	
746	a	sp|P31937|3HIDH_HUMAN	P31937	3HIDH_HUMAN	HIBADH	336	18.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	3-hydroxyisobutyrate dehydrogenase, mitochondrial	1.0000	0.9990	5	24	24	24	1	1	1	0	0	0	0.0	0.0	0.0	5	5	5	4	4	4	2.37618128E8	2.37618128E8	2.37618128E8	5	5	5	3	3	3	2.0742248E8	2.0742248E8	2.0742248E8	5	5	5	4	4	4	1.4407776E8	1.4407776E8	1.4407776E8	5	5	5	3	3	3	1.44952352E8	1.44952352E8	1.44952352E8	3	3	3	3	3	3	1.4871952E8	1.4871952E8	1.4871952E8	
747	a	sp|P31939|PUR9_HUMAN	P31939	PUR9_HUMAN	ATIC	592	67.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Bifunctional purine biosynthesis protein ATIC	1.0000	0.9990	37	268	268	268	65	65	65	41	41	41	3.75179392E9	3.75179392E9	3.75179392E9	39	39	39	19	19	19	2.11071181E9	2.11071181E9	2.11071181E9	40	40	40	18	18	18	1.71448282E9	1.71448282E9	1.71448282E9	40	40	40	23	23	23	1.47959667E9	1.47959667E9	1.47959667E9	41	41	41	24	24	24	1.65305024E9	1.65305024E9	1.65305024E9	43	43	43	18	18	18	1.75184806E9	1.75184806E9	1.75184806E9	
748	a	sp|P31942|HNRH3_HUMAN	P31942	HNRH3_HUMAN	HNRNPH3	346	49.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein H3	1.0000	0.9990	13	63	58	58	16	16	16	14	14	14	3.28153376E8	3.28153376E8	3.28153376E8	10	9	9	10	9	9	2.6686328E8	2.44310032E8	2.44310032E8	7	6	6	7	6	6	2.85104064E8	2.67243888E8	2.67243888E8	11	10	10	8	7	7	2.38858048E8	2.53769376E8	2.53769376E8	12	11	11	7	6	6	3.40166688E8	3.35924832E8	3.35924832E8	7	6	6	5	4	4	3.47165024E8	3.8559328E8	3.8559328E8	
749	a	sp|P31943|HNRH1_HUMAN	P31943	HNRH1_HUMAN	HNRNPH1	449	60.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein H	1.0000	0.9990	26	163	77	142	49	30	49	23	12	23	6.8927309E8	1.47008816E8	6.8927309E8	23	11	19	18	8	15	1.23194739E9	3.87154112E8	1.17314086E9	25	10	20	19	8	16	1.0857513E9	3.23807392E8	1.07157402E9	17	6	15	16	6	14	7.9335866E8	3.1707696E8	8.1208787E8	21	7	17	17	7	14	1.29579597E9	5.1305984E8	1.36166093E9	28	13	22	20	9	17	1.28861478E9	3.8064064E8	1.2746985E9	
750	a	sp|P31946|1433B_HUMAN	P31946	1433B_HUMAN	YWHAB	246	71.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	14-3-3 protein beta/alpha	1.0000	0.9990	23	153	37	37	31	9	9	21	8	8	2.47019085E9	2.05579936E8	2.05579936E8	23	4	4	17	6	6	4.3870449E9	1.44513984E8	1.44513984E8	25	5	5	18	6	6	3.9614103E9	1.50318384E8	1.50318384E8	24	5	5	14	3	3	3.30557747E9	1.6646072E8	1.6646072E8	28	7	7	15	5	5	4.17161933E9	1.86828048E8	1.86828048E8	22	7	7	14	5	5	4.25116237E9	1.73120384E8	1.73120384E8	
751	a	sp|P31947|1433S_HUMAN	P31947	1433S_HUMAN	SFN	248	87.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	14-3-3 protein sigma	1.0000	0.9990	27	191	121	124	40	35	36	28	23	24	1.79011226E9	4.43128864E8	6.1479968E8	28	14	14	16	10	11	4.3193155E9	7.4360986E8	7.4223181E8	32	18	18	17	11	12	4.13690138E9	8.0970112E8	7.7508147E8	37	23	24	18	12	13	3.75195776E9	8.7732173E8	7.4175104E8	25	13	14	16	10	11	4.3677553E9	1.0802505E9	1.03382182E9	29	18	18	14	8	9	4.8009318E9	1.13647283E9	1.0595415E9	
752	a	sp|P31948|STIP1_HUMAN	P31948	STIP1_HUMAN	STIP1	543	64.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Stress-induced-phosphoprotein 1	1.0000	0.9990	47	251	251	251	41	41	41	34	34	34	1.1185975E9	1.1185975E9	1.1185975E9	41	41	41	29	29	29	1.88080013E9	1.88080013E9	1.88080013E9	45	45	45	34	34	34	1.66756813E9	1.66756813E9	1.66756813E9	39	39	39	25	25	25	1.71877773E9	1.71877773E9	1.71877773E9	39	39	39	29	29	29	2.34510387E9	2.34510387E9	2.34510387E9	46	46	46	29	29	29	2.00946726E9	2.00946726E9	2.00946726E9	
753	a	sp|P31949|S10AB_HUMAN	P31949	S10AB_HUMAN	S100A11	105	89.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein S100-A11	1.0000	0.9990	11	64	64	64	24	24	24	14	14	14	1.15416051E9	1.15416051E9	1.15416051E9	8	8	8	4	4	4	4.3362656E8	4.3362656E8	4.3362656E8	6	6	6	4	4	4	2.27462432E8	2.27462432E8	2.27462432E8	6	6	6	2	2	2	7.0616365E8	7.0616365E8	7.0616365E8	10	10	10	6	6	6	4.6995376E8	4.6995376E8	4.6995376E8	10	10	10	3	3	3	4.33032704E8	4.33032704E8	4.33032704E8	
754	a	sp|P32321|DCTD_HUMAN	P32321	DCTD_HUMAN	DCTD	178	46.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Deoxycytidylate deaminase	1.0000	0.9990	6	21	21	21	5	5	5	4	4	4	1.86206192E8	1.86206192E8	1.86206192E8	3	3	3	2	2	2	8.2413286E8	8.2413286E8	8.2413286E8	3	3	3	2	2	2	6.5917075E8	6.5917075E8	6.5917075E8	7	7	7	3	3	3	4.13520672E8	4.13520672E8	4.13520672E8	1	1	1	0	0	0	0.0	0.0	0.0	2	2	2	0	0	0	0.0	0.0	0.0	
